Question,City,Rent,Annual_Rent,Average_Income,Rent_Income_Percent,Rent_1980,Rent_1990,Rent_Increase,Rent_Increase_Percent,Student_Percent_Change
Highest rent compared to income,52,428.0,5136.0,9262.0,55.45238609371626,,,,,
Highest rent compared to income,38,374.0,4488.0,12206.0,36.768802228412255,,,,,
Highest rent compared to income,14,636.0,7632.0,22346.0,34.153763537098364,,,,,
Highest rent compared to income,48,490.0,5880.0,18257.0,32.20682477953661,,,,,
Highest rent compared to income,33,456.0,5472.0,17738.0,30.849024692750028,,,,,
Highest rent compared to income,59,469.0,5628.0,18592.0,30.271084337349397,,,,,
Highest rent compared to income,12,347.0,4164.0,14286.0,29.14741705165897,,,,,
Highest rent compared to income,9,568.0,6816.0,25811.0,26.407345705319436,,,,,
Highest rent compared to income,15,403.0,4836.0,18393.0,26.292611319523733,,,,,
Highest rent compared to income,54,346.0,4152.0,15917.0,26.08531758497204,,,,,
Largest rent increase,5,,,,,475.0,925.0,450.0,94.73684210526315,3.343449999999999
Largest rent increase,6,,,,,276.0,630.0,354.0,128.26086956521738,1.14616
Largest rent increase,4,,,,,267.0,588.0,321.0,120.2247191011236,1.5958499999999987
Largest rent increase,9,,,,,253.0,568.0,315.0,124.50592885375494,1.8769200000000001
Largest rent increase,14,,,,,336.0,636.0,300.0,89.28571428571429,3.7556699999999985
Largest rent increase,23,,,,,257.0,538.0,281.0,109.3385214007782,0.8800999999999988
Largest rent increase,32,,,,,230.0,493.0,263.0,114.34782608695653,6.055769999999995
Largest rent increase,26,,,,,309.0,568.0,259.0,83.81877022653723,-0.08263999999999783
Largest rent increase,58,,,,,243.0,493.0,250.0,102.88065843621399,2.1720299999999995
Largest rent increase,33,,,,,212.0,456.0,244.0,115.09433962264151,3.1068700000000007
